team_id,team_name,franchise_id
1,Atlanta Hawks,1
2,St. Louis Hawks,1
3,Milwaukee Hawks,1
4,Tri-Cities Blackhawks,1
5,Boston Celtics,2
6,Brooklyn Nets,3
7,New Jersey Nets,3
8,New York Nets,3
9,New York Nets,3
10,New Jersey Americans,3
11,Charlotte Hornets,4
12,Charlotte Bobcats,4
13,Charlotte Hornets,4
14,Chicago Bulls,5
15,Cleveland Cavaliers,6
16,Dallas Mavericks,7
17,Denver Nuggets,8
18,Denver Nuggets,8
19,Denver Rockets,8
20,Detroit Pistons,9
21,Fort Wayne Pistons,9
22,Golden State Warriors,10
23,San Francisco Warriors,10
24,Philadelphia Warriors,10
25,Houston Rockets,11
26,San Diego Rockets,11
27,Indiana Pacers,12
28,Indiana Pacers,12
29,Los Angeles Clippers,13
30,San Diego Clippers,13
31,Buffalo Braves,13
32,Los Angeles Lakers,14
33,Minneapolis Lakers,14
34,Memphis Grizzlies,15
35,Vancouver Grizzlies,15
36,Miami Heat,16
37,Milwaukee Bucks,17
38,Minnesota Timberwolves,18
39,New Orleans Pelicans,19
40,NO/Ok. City Hornets,19
41,New Orleans Hornets,19
42,New York Knicks,20
43,Oklahoma City Thunder,21
44,Seattle SuperSonics,21
45,Orlando Magic,22
46,Philadelphia 76ers,23
47,Syracuse Nationals,23
48,Phoenix Suns,24
49,Portland Trail Blazers,25
50,Sacramento Kings,26
51,Kansas City Kings,26
52,Kansas City-Omaha Kings,26
53,Cincinnati Royals,26
54,Rochester Royals,26
55,San Antonio Spurs,27
56,San Antonio Spurs,27
57,Texas Chaparrals,27
58,Dallas Chaparrals,27
59,Toronto Raptors,28
60,Utah Jazz,29
61,New Orleans Jazz,29
62,Washington Wizards,30
63,Washington Bullets,30
64,Capital Bullets,30
65,Baltimore Bullets,30
66,Chicago Zephyrs,30
67,Chicago Packers,30
68,League Average,31
69,Multiple Teams (player traded mid season),32
